primary_genre,title,origin,genres,director,main_character,bechdel_passed,LGBTQ,Disability,Elderly,AI,Animal,plot,kwords,popularity
Action,The Last Stand of Ellen Cole,['US'],"['Action', 'Adventure']",unknown,female,,FALSE,FALSE,FALSE,FALSE,FALSE,"사악한 건설자가 새로운 프로젝트를 방해하는 짜증나는 세입자를 쫓아내기 위해 극단적인 조치를 취할 때, 그는 이 겉보기에 무해해 보이는 노파가 훈련된 살인자이며 사랑하는 집을 지키기 위해 무엇이든 할 것이라는 사실을 고려하지 못합니다.",[],244.9839
Family,Woodwalkers,"['AT', 'DE']","['Family', 'Fantasy']",male,male,,FALSE,FALSE,FALSE,FALSE,TRUE,"동물로 변신할 수 있는 인간은 자신의 특별한 능력을 드러내지 않고 다른 사람들과 융합하는 데 어려움을 겪습니다. 그들은 집단으로서 삼림 벌채와 자연 서식지의 중요성에 대한 세계관에 변화를 가져오고자 노력합니다. 그러나 그것이 불가능할 때, 그들은 스스로 문제를 해결해야 합니다.","['소설이나 책을 바탕으로 한', '변신', '진부한 표현']",179.8867
Horror,Párvulos: Children of the Apocalypse,['MX'],['Horror'],male,male,,FALSE,FALSE,FALSE,FALSE,FALSE,"바이러스로 인한 종말로 황폐해진 디스토피아적 미래, 살바도르, 올리버, 벤자민 세 어린 형제는 숲 속 깊은 외딴 오두막에 고립됩니다. 이 황량한 세상을 헤쳐나가는 동안, 그들은 지하실에 숨겨진 어둡고 불길한 비밀을 품고 있습니다. 그들은 생존을 위해 그 비밀을 반드시 밝혀내야 합니다.",[],169.5685
Animation,Moana 2,['US'],"['Animation', 'Adventure', 'Family', 'Comedy']",male,female,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"길을 찾아준 조상들로부터 예상치 못한 전화를 받은 모아나는 마우이와 새로운 동료들과 함께 오세아니아의 먼 바다로 여행을 떠나 위험하고 오랫동안 길을 잃은 바다로 향하며, 이제껏 겪어보지 못한 모험을 시작합니다.","['바다', '대양', '악당', '뮤지컬', '속편', '크레딧 중 스팅어']",107.3385
Animation,Sonic the Hedgehog 3,['US'],"['Action', 'Science Fiction', 'Comedy', 'Family']",male,male,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"소닉, 너클스, 테일즈가 강력한 새로운 적, 섀도우에 맞서 다시 뭉칩니다. 섀도우는 그들이 이전에 마주했던 그 어떤 것과도 비교할 수 없는 능력을 가진 미스터리한 악당입니다. 모든 면에서 상대가 되지 못하는 소닉 팀은 섀도우를 막고 지구를 지키기 위해 예상치 못한 동맹을 찾아야 합니다.","['달', '후속작', '비디오 게임 기반', '정신병', '이중 역할', '크레딧 이후 스팅어', '크레딧 중 스팅어', '고슴도치', '실사와 애니메이션', '할아버지와 손자 관계', '동물과 인간의 우정', '의인화된 동물', '상실과 슬픔', '클리셰', '복잡한', '회의적인']",75.9028
Animation,Mufasa: The Lion King,['US'],"['Adventure', 'Family', 'Animation']",male,male,,FALSE,FALSE,FALSE,FALSE,FALSE,"길을 잃고 홀로 남겨진 새끼 무파사는 왕족의 후계자이자 동정심 많은 사자 타카를 만난다. 이 우연한 만남을 계기로, 운명을 찾아 헤매는 부적응자들의 광활한 여정이 시작된다.","['우정', '낙원', '사자', '뮤지컬', '프리퀄', '정글', '플래시백으로 이야기하다', '친구의 배신', '우연한 만남', '실사 리메이크', '가족을 찾았다', '잃어버린']",69.9533
Animation,Panda Bear in Africa,"['DE', 'DK', 'NL', 'FR']","['Animation', 'Adventure', 'Comedy', 'Family']",female,female,,FALSE,FALSE,FALSE,FALSE,FALSE,"어린 모험심 넘치는 팬더가 납치된 절친한 용 지롱을 구하기 위해 중국에서 아프리카로 향합니다. 여정에서 지롱은 산, 사막, 정글이 어우러진 기묘하고 놀라운 새로운 세상을 발견합니다.",[],64.5157
Documentary,Bambi: A Life in the Woods,['FR'],"['Adventure', 'Family', 'Documentary']",male,female,,FALSE,FALSE,FALSE,FALSE,FALSE,"수컷 노루 밤비의 삶, 탄생부터 어린 시절, 어머니를 잃은 슬픔, 짝을 찾는 과정, 아버지로부터 배우는 교훈, 그리고 숲에서 인간 사냥꾼들이 가하는 위험에 대해 얻는 경험까지.",[],69.3946
Drama,Anora,['US'],"['Drama', 'Comedy', 'Romance']",male,female,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"브루클린의 젊은 성매매 여성이 재벌의 아들을 만나 충동적으로 결혼하면서 신데렐라 스토리에 나올 기회를 얻습니다. 이 소식이 러시아에 전해지자, 그의 부모가 결혼을 취소하려 하면서 그녀의 동화 같은 이야기는 위기에 처합니다.","[""새해 전야"", '뉴욕시', '결혼', '보드워크', '세례', '스트립 클럽', '코니 아일랜드', '여주인공', '맨션', '계급 차이', '라스베이거스', '랩 댄스', '가택 침입', '술 취함', '브루클린, 뉴욕시', '스크루볼 코미디', '뉴욕 지하철', '쾌락주의', '미성숙함', '시청', '이국적인 댄서', '크라이테리언', '성 노동자', '순진한 아이들', '여성 스트리핑', '참견하는 부모', '무혼', '성찰적', '스트립 쇼', '러시아 과두 정치가', '사랑스러운', '장난스러운', '섹스', '파티', '여성의 분노', '베이거스 결혼식', '로맨틱 드라마 코미디', '신데렐라 스토리', '우울한', '무관심한', '자만심이 강한', '비극적인', '브라이튼 비치']",55.4691
Comedy,The Balconettes,['FR'],"['Comedy', 'Horror', 'Fantasy']",female,female,,FALSE,FALSE,FALSE,FALSE,FALSE,"폭염으로 마르세유 동네가 들끓는 가운데, 세 명의 룸메이트가 발코니에서 이웃들의 삶에 신나게 개입합니다. 그러던 어느 날 밤, 술 한 잔이 피비린내 나는 사건으로 번집니다.",[],52.0626
Action,Venom: The Last Dance,['US'],"['Action', 'Science Fiction', 'Adventure']",female,male,,FALSE,FALSE,FALSE,FALSE,FALSE,"에디와 베놈은 도망칩니다. 두 세계 모두에서 쫓기고 그물이 점점 좁아지는 가운데, 두 사람은 베놈과 에디의 마지막 춤을 막을 파괴적인 결정을 내려야 합니다.","['영웅', '슈퍼히어로', '반영웅', '악당', '외계 생명체', '만화 기반', '후속작', '크레딧 후 스팅어', '여성 감독', '화난', '재밌는', '무관심한']",51.1908
Animation,Despicable Me 4,['US'],"['Animation', 'Family', 'Comedy', 'Science Fiction']",male,male,,FALSE,FALSE,FALSE,FALSE,FALSE,"그루와 루시, 그리고 그들의 딸들인 마고, 에디스, 아그네스는 그루 가문에 새로운 구성원인 그루 주니어를 맞이하는데, 그는 아버지를 괴롭히려고 합니다. 또한 그루는 막심 르 말과 그의 팜므파탈 여자친구 발렌티나라는 새로운 적과 마주치게 되고, 이로 인해 가족은 도망칠 수밖에 없게 됩니다.","['슈퍼히어로', '악당', '시퀄', '슈퍼 악당', '크레딧 이후 스팅어', '크레딧 이후 스팅어', '키즈', '차분함', '조명']",48.285
Animation,Uma & Haggen,['MX'],"['Animation', 'Family', 'Adventure']",unknown,unknown,,FALSE,FALSE,FALSE,FALSE,FALSE,히스패닉 이전 시대의 유산을 지닌 미래 사회에서 하겐이라는 바이킹은 우마 공주가 죽은 아버지의 왕좌를 되찾기 위해 도시로 돌아올 수 있도록 돕기로 결심합니다.,[],53.4362
Animation,The Wild Robot,['US'],"['Animation', 'Science Fiction', 'Family']",male,female,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"난파선 사고로 지능형 로봇 로즈가 무인도에 좌초됩니다. 혹독한 환경에서 살아남기 위해 로즈는 섬의 동물들과 유대감을 형성하고, 어미 없는 아기 거위를 돌봅니다.","['악당', '로봇', '동화책 원작', '여악당', '크레딧 이후의 스팅어', '크레딧 중 스팅어', '아이들', '입양아들', '차분한', '복잡한', '전통적 양육', '공감하는', '매혹적인', '행복한']",50.1857
Horror,Conjuring the Cult,['US'],"['Horror', 'Drama']",male,unknown,,FALSE,FALSE,FALSE,FALSE,FALSE,욕조에서 피투성이가 된 딸의 시신을 발견한 데이비드 브라이슨은 악몽에서 벗어나기 위해 자조 모임에 참여합니다. 하지만 정체를 알 수 없는 사이비 종교 단체 여성들이 딸을 부활시키겠다고 제안합니다. 데이비드의 선택은 그의 운명뿐 아니라… 죽은 딸의 영혼의 운명까지 결정지을 것입니다.,[],51.5722
Action,Deadpool & Wolverine,['US'],"['Action', 'Comedy', 'Science Fiction']",male,male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"무기력한 웨이드 윌슨은 도덕적으로 유연한 용병 데드풀로서의 시절을 뒤로하고 민간인으로서 고된 삶을 살아간다. 하지만 고향 행성이 존재론적 위협에 직면하자, 웨이드는 더욱 망설이는 울버린과 다시 함께 슈트를 입어야 한다.","['영웅', '슈퍼히어로', '안티히어로', '뮤턴트', '네 번째 벽 깨기', '크레딧 이후 스팅어', '크레딧 이후 스팅어', '마블 시네마틱 유니버스(MCU)', '뮤턴트', '슈퍼히어로 팀업']",49.2679
